Name,Team,Gender,Division,Matches Played,Minutes Played,Goals,Assists,Shots,Shots On Target,Yellow Cards,Red Cards,Saves,Goals Against,Fouls Won,Positions Seen,Dominant Position,Points
Tarek Hamideh,UC Riverside,men,d1,1,90,0,0,4,1,0,0,0,0,2,M,Midfielder,0
Tarick Kamara,Shenandoah,men,d3,1,35,0,0,1,1,0,0,0,0,1,M,Midfielder,0
Tariq Thompson,SUNY Morrisville,men,d3,1,90,1,0,1,1,0,0,0,0,0,M,Midfielder,2
Tarun Karumanchi,UCLA,men,d1,1,90,0,0,0,0,0,0,0,0,0,M,Midfielder,0
Tate Hickman,Southern Va.,men,d3,1,85,1,0,1,1,1,0,0,0,1,F,Forward,2
Tate Lampman,Georgetown,men,d1,1,90,0,0,3,0,0,0,0,0,1,D,Defender,0
Tate Mccrery,Bellarmine,men,d1,1,90,0,0,1,0,1,0,0,0,0,M,Midfielder,0
Tate Pottle,RIT,men,d3,1,47,0,0,3,1,0,0,0,0,0,M,Midfielder,0
Tate Reynolds,Huntingdon,men,d3,1,72,0,0,0,0,0,0,0,0,0,null,Unknown,0
Tate Roth,McDaniel,men,d3,1,90,0,0,0,0,0,0,3,0,0,GK,Goalkeeper,0
Tatum Miller,Illinois Tech,men,d3,1,3,0,0,0,0,0,0,0,0,0,M,Midfielder,0
